dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.14,55.24,55.24,FHRR,page_rank
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.14,55.24,55.24,FHRR,degree_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.14,55.24,55.24,FHRR,katz_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.14,55.24,55.24,FHRR,closeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.14,55.24,55.24,FHRR,information_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.14,55.24,55.24,FHRR,betweenness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.14,55.24,55.24,FHRR,current_flow_betweeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.14,55.24,55.24,FHRR,communicability_betweeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.14,55.24,55.24,FHRR,load_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.14,55.24,55.24,FHRR,subgraph_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.14,55.24,55.24,FHRR,subgraph_centrality_exp
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.14,55.24,55.24,FHRR,harmonic_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.14,55.24,55.24,FHRR,second_order_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.14,55.24,55.24,FHRR,second_order_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.33,0.09,87.72,87.72,FHRR,page_rank
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.33,0.09,87.72,87.72,FHRR,degree_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.33,0.09,87.72,87.72,FHRR,katz_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.33,0.09,87.72,87.72,FHRR,closeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.33,0.09,87.72,87.72,FHRR,information_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.33,0.09,87.72,87.72,FHRR,betweenness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.33,0.09,87.72,87.72,FHRR,current_flow_betweeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.33,0.09,87.72,87.72,FHRR,communicability_betweeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.33,0.09,87.72,87.72,FHRR,load_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.33,0.09,87.72,87.72,FHRR,subgraph_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.33,0.09,87.72,87.72,FHRR,subgraph_centrality_exp
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.33,0.09,87.72,87.72,FHRR,harmonic_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.33,0.09,87.72,87.72,FHRR,second_order_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.33,0.09,87.72,87.72,FHRR,second_order_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,4.97,2.55,61.31,61.31,FHRR,page_rank
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,4.97,2.55,61.31,61.31,FHRR,degree_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,4.97,2.55,61.31,61.31,FHRR,katz_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,4.97,2.55,61.31,61.31,FHRR,closeness_centrality
