dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,4.96,2.56,63.58,63.58,FHRR,page_rank
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,4.96,2.56,63.58,63.58,FHRR,degree_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,4.96,2.56,63.58,63.58,FHRR,katz_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,4.96,2.56,63.58,63.58,FHRR,closeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,4.96,2.56,63.58,63.58,FHRR,betweenness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,4.96,2.56,63.58,63.58,FHRR,communicability_betweeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,4.96,2.56,63.58,63.58,FHRR,load_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,4.96,2.56,63.58,63.58,FHRR,subgraph_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,4.96,2.56,63.58,63.58,FHRR,subgraph_centrality_exp
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,4.96,2.56,63.58,63.58,FHRR,harmonic_centrality
