dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,page_rank
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,degree_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,eigen_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,katz_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,closeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,current_flow_closeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,information_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,betweenness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,current_flow_betweeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,communicability_betweeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,load_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,subgraph_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,subgraph_centrality_exp
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,harmonic_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,second_order_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.17,57.14,57.14,FHRR,second_order_centrality
