name,accuracy,train_time,test_time,dimensions,method,encoding,iterations,lr,chunks,threshold,reduce_subclass,model_quantize,epsilon,alpha,beta,theta,r,lazy_regeneration,model_neural,lazy_regeneration,model_neural,partial_data,robustness_failed_dimensions,weight_decay,learning_rate,dropout_rate
Abalone,1.0,0.29760289192199707,1692593231.248229,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AcuteInflammation,1.0,0.07402420043945312,1692593231.5062292,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AcuteNephritis,1.0,0.07651185989379883,1692593231.653645,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Adult,1.0,1.7410497665405273,1692593233.6429858,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Annealing,1.0,0.10153865814208984,1692593234.6866047,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Arrhythmia,1.0,0.12163615226745605,1692593234.9230993,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AudiologyStd,1.0,0.08472084999084473,1692593235.092933,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BalanceScale,1.0,0.0898277759552002,1692593235.256419,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Balloons,1.0,0.07113814353942871,1692593235.409599,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Bank,1.0,0.24119806289672852,1692593235.730088,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Blood,0.9428571428571428,0.09410524368286133,1692593235.97225,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancer,0.9813084112149533,0.07942390441894531,1692593236.134236,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWisc,1.0,0.08762598037719727,1692593236.298647,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWiscDiag,1.0,0.09784793853759766,1692593236.479177,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWiscProg,1.0,0.08044910430908203,1692593236.6424036,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastTissue,1.0,0.07459712028503418,1692593236.7891169,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Car,1.0,0.11590003967285156,1692593236.9782617,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Cardiotocography10Clases,1.0,0.17986607551574707,1692593237.266016,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Cardiotocography3Clases,1.0,0.1569969654083252,1692593237.5427132,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ChessKrvk,1.0,1.0607120990753174,1692593238.7402139,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ChessKrvkp,1.0,0.15527677536010742,1692593239.6390529,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CongressionalVoting,0.6993865030674846,0.08158588409423828,1692593239.846841,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ConnBenchSonarMinesRocks,1.0,0.08263802528381348,1692593240.0096111,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ConnBenchVowelDeterding,1.0,0.11040830612182617,1692593240.1967282,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Connect4,1.0,2.3929598331451416,1692593243.0446148,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Contrac,0.9818840579710145,0.12404870986938477,1692593244.5773268,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CreditApproval,1.0,0.12782716751098633,1692593244.80337,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CylinderBands,1.0,0.09498119354248047,1692593244.9975662,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Dermatology,1.0,0.08319711685180664,1692593245.1602707,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Echocardiogram,1.0,0.07692313194274902,1692593245.318111,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Ecoli,1.0,0.08213090896606445,1692593245.491619,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EnergyY1,1.0,0.08994626998901367,1692593245.659581,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EnergyY2,1.0,0.0922544002532959,1692593245.840737,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Fertility,0.972972972972973,0.07532787322998047,1692593246.008562,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Flags,1.0,0.08214783668518066,1692593246.1695406,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Glass,1.0,0.0825510025024414,1692593246.3409472,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
HabermanSurvival,1.0,0.08188486099243164,1692593246.4976363,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
HayesRoth,0.8787878787878788,0.07722020149230957,1692593246.656575,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
HeartCleveland,1.0,0.08494091033935547,1692593246.816712,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
HeartHungarian,1.0,0.08023715019226074,1692593246.9711673,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
HeartSwitzerland,1.0,0.07697105407714844,1692593247.1222641,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
HeartVa,1.0,0.07815384864807129,1692593247.2715569,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Hepatitis,1.0,0.07365918159484863,1692593247.4229653,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
HillValley,1.0,0.17007184028625488,1692593247.678129,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
HorseColic,1.0,0.08897995948791504,1692593247.851959,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
IlpdIndianLiver,1.0,0.09569001197814941,1692593248.031198,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ImageSegmentation,1.0,0.08458590507507324,1692593248.1999319,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Ionosphere,1.0,0.08842587471008301,1692593248.3660197,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Iris,1.0,0.07924389839172363,1692593248.5204537,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
LedDisplay,0.768,0.09831786155700684,1692593248.7071507,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
