name,accuracy,train_time,test_time,dimensions,method,encoding,iterations,lr,chunks,threshold,reduce_subclass,model_quantize,epsilon,alpha,beta,theta,r,lazy_regeneration,model_neural,lazy_regeneration,model_neural,partial_data,robustness_failed_dimensions,weight_decay,learning_rate,dropout_rate
Balloons,0.75,0.1301867961883545,0.014646291732788086,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Balloons,0.75,0.13004398345947266,0.014516353607177734,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Balloons,0.75,0.1299571990966797,0.01450204849243164,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Bank,0.9,0.5652244091033936,0.22086811065673828,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Bank,0.9026548672566371,0.555048942565918,0.2207047939300537,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Bank,0.9,0.6478848457336426,0.220963716506958,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Bank,0.8946902654867257,0.554558277130127,0.22074651718139648,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Bank,0.8955752212389381,0.5595877170562744,0.22043943405151367,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Blood,0.7005347593582888,0.1930859088897705,0.04834890365600586,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Blood,0.7058823529411765,0.1930677890777588,0.04834389686584473,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Blood,0.7433155080213903,0.19229698181152344,0.048342227935791016,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Blood,0.6417112299465241,0.19353437423706055,0.048509836196899414,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Blood,0.732620320855615,0.19262003898620605,0.04830360412597656,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancer,0.7464788732394366,0.15250778198242188,0.026899337768554688,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancer,0.7605633802816901,0.15335416793823242,0.0269777774810791,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
