name,accuracy,train_time,test_time,dimensions,method,encoding,iterations,lr,chunks,threshold,reduce_subclass,model_quantize,epsilon,alpha,beta,theta,r,lazy_regeneration,model_neural,lazy_regeneration,model_neural,partial_data,robustness_failed_dimensions
EMGHandGestures,0.9810126423835754,0.15434956550598145,0.4354085922241211,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,30
EMGHandGestures,0.9810126423835754,0.15434956550598145,0.5470962524414062,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,40
EMGHandGestures,0.13924050331115723,0.15434956550598145,0.6739087104797363,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,50
EMGHandGestures,0.0,0.15434956550598145,0.8090002536773682,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,60
EMGHandGestures,0.0,0.15434956550598145,0.8809616565704346,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,70
EMGHandGestures,0.0,0.15434956550598145,0.44006776809692383,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,80
EMGHandGestures,0.0,0.15434956550598145,0.44181275367736816,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,90
EMGHandGestures,0.0,0.15434956550598145,0.49678635597229004,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,100
PAMAP,0.9306248426437378,29.417617321014404,245.7910966873169,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,0
PAMAP,0.9300315380096436,29.417617321014404,241.24887251853943,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,5
PAMAP,0.9299775958061218,29.417617321014404,253.5252377986908,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,10
PAMAP,0.9278740882873535,29.417617321014404,286.634507894516,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,20
PAMAP,0.9248536825180054,29.417617321014404,336.50255274772644,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,30
PAMAP,0.90567946434021,29.417617321014404,369.89862394332886,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,40
PAMAP,0.0472344309091568,29.417617321014404,359.04873609542847,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,50
PAMAP,0.0,29.417617321014404,366.24162578582764,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,60
PAMAP,0.0,29.417617321014404,339.0416076183319,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,70
PAMAP,0.0,29.417617321014404,362.7988874912262,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,80
PAMAP,0.0,29.417617321014404,336.15622115135193,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,90
PAMAP,0.0,29.417617321014404,367.5687870979309,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,100
ISOLET,0.8652982711791992,2.134171485900879,6.6128809452056885,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,0
ISOLET,0.8646568059921265,2.134171485900879,5.982755422592163,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,5
ISOLET,0.861449658870697,2.134171485900879,7.515047073364258,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,10
ISOLET,0.8569595813751221,2.134171485900879,6.323403596878052,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,20
ISOLET,0.838999330997467,2.134171485900879,9.041756868362427,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,30
ISOLET,0.783194363117218,2.134171485900879,9.039318561553955,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,40
ISOLET,0.03784477338194847,2.134171485900879,9.189605712890625,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,50
ISOLET,0.0,2.134171485900879,8.275760173797607,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,60
ISOLET,0.0,2.134171485900879,9.54346513748169,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,70
ISOLET,0.0,2.134171485900879,9.445695161819458,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,80
ISOLET,0.0,2.134171485900879,7.760633707046509,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,90
ISOLET,0.0,2.134171485900879,9.354310512542725,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,100
UCIHAR,0.7502545118331909,3.048617124557495,15.477948904037476,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,0
UCIHAR,0.7499151825904846,3.048617124557495,17.140105724334717,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,5
UCIHAR,0.7468612194061279,3.048617124557495,13.344751119613647,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,10
UCIHAR,0.749236524105072,3.048617124557495,15.796252489089966,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,20
UCIHAR,0.7410926222801208,3.048617124557495,16.86049723625183,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,30
