name,accuracy,train_time,test_time,dimensions,method,encoding,iterations,lr,chunks,threshold,reduce_subclass,model_quantize,epsilon,alpha,beta,theta,r,lazy_regeneration,model_neural,lazy_regeneration,model_neural,partial_data,robustness_failed_dimensions,weight_decay,learning_rate,dropout_rate
Abalone,0.5814176245210728,0.31418299674987793,1692628927.346095,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AcuteInflammation,1.0,0.07857298851013184,1692628927.5694137,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AcuteNephritis,0.9666666666666667,0.08880615234375,1692628927.757516,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Adult,0.8449726675265647,1.8457732200622559,1692628929.7730339,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Annealing,0.97,0.10448503494262695,1692628930.835394,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Arrhythmia,0.35398230088495575,0.12144303321838379,1692628931.0652502,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AudiologyStd,0.72,0.07930898666381836,1692628931.221459,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BalanceScale,0.8076923076923077,0.08810305595397949,1692628931.387596,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Balloons,0.75,0.0720357894897461,1692628931.5417218,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Bank,0.8982300884955752,0.23919296264648438,1692628931.8654928,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Blood,0.6737967914438503,0.09577703475952148,1692628932.0881472,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancer,0.6901408450704225,0.08108305931091309,1692628932.2589662,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWisc,0.9771428571428571,0.08946800231933594,1692628932.4315152,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWiscDiag,0.9436619718309859,0.10060811042785645,1692628932.636175,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWiscProg,0.7551020408163265,0.08193802833557129,1692628932.8143759,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastTissue,0.7692307692307693,0.07528281211853027,1692628932.9693778,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Car,0.9606481481481481,0.1166069507598877,1692628933.17892,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Cardiotocography10Clases,0.832391713747646,0.17659807205200195,1692628933.4730809,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Cardiotocography3Clases,0.943502824858757,0.1575779914855957,1692628933.754677,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ChessKrvk,0.7289706301682349,1.158268928527832,1692628935.060509,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ChessKrvkp,0.9949937421777222,0.15881586074829102,1692628935.8114,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CongressionalVoting,0.6146788990825688,0.08309412002563477,1692628936.01005,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ConnBenchSonarMinesRocks,0.7692307692307693,0.08355498313903809,1692628936.1801617,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ConnBenchVowelDeterding,0.8982683982683982,0.11188006401062012,1692628936.378943,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Connect4,0.8547575344899047,2.4209799766540527,1692628939.3656058,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Contrac,0.5217391304347826,0.12407398223876953,1692628940.4827693,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CreditApproval,0.8546511627906976,0.09335708618164062,1692628940.6682029,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CylinderBands,0.7890625,0.09062504768371582,1692628940.8381443,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Dermatology,0.989010989010989,0.080963134765625,1692628941.0011902,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Echocardiogram,0.8484848484848485,0.0737919807434082,1692628941.146722,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Ecoli,0.8809523809523809,0.08113384246826172,1692628941.3000977,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EnergyY1,0.953125,0.08914613723754883,1692628941.461607,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EnergyY2,0.890625,0.09081602096557617,1692628941.631704,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Fertility,0.88,0.07318997383117676,1692628941.7820668,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Flags,0.6458333333333334,0.07841730117797852,1692628941.9322784,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Glass,0.660377358490566,0.07968497276306152,1692628942.084991,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
HabermanSurvival,0.6052631578947368,0.08056282997131348,1692628942.2376978,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
HayesRoth,0.8928571428571429,0.0744938850402832,1692628942.3853688,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
HeartCleveland,0.5657894736842105,0.0826103687286377,1692628942.5387661,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
HeartHungarian,0.7397260273972602,0.07970309257507324,1692628942.691946,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
