dataset,dimensions,train_time,test_time,accuracy,f1
PTC_FR,10000,0.69,0.3,57.55,57.55
dataset,dimensions,train_time,test_time,accuracy,f1
MUTAG,10000,0.45,0.21,80.7,80.7
dataset,dimensions,train_time,test_time,accuracy,f1
NCI1,10000,16.49,7.04,63.83,63.83
dataset,dimensions,train_time,test_time,accuracy,f1
ENZYMES,10000,6.72,2.84,27.78,27.78
dataset,dimensions,train_time,test_time,accuracy,f1
PROTEINS,10000,13.9,6.75,61.98,61.98
dataset,dimensions,train_time,test_time,accuracy,f1
DD,10000,241.91,103.68,68.08,68.08
