MUTAG,0
78.07
78.07
ENZYMES,0
21.94
21.94
PROTEINS,0
53.59
53.59
MUTAG,RANDOM
86.84
86.84
ENZYMES,RANDOM
36.94
36.94
PROTEINS,RANDOM
69.01
69.01
