dataset,dimensions,train_time,test_time,accuracy,f1
PTC_FR,10000,0.83,0.46,54.72,54.72
dataset,dimensions,train_time,test_time,accuracy,f1
MUTAG,10000,0.54,0.28,82.46,82.46
dataset,dimensions,train_time,test_time,accuracy,f1
NCI1,10000,16.78,7.44,66.34,66.34
dataset,dimensions,train_time,test_time,accuracy,f1
ENZYMES,10000,3.5,1.61,26.11,26.11
dataset,dimensions,train_time,test_time,accuracy,f1
PROTEINS,10000,7.89,4.49,69.76,69.76
dataset,dimensions,train_time,test_time,accuracy,f1
DD,10000,75.97,25.21,72.88,72.88
