dataset,dimensions,train_time,test_time,accuracy,f1
OHSU,10000,0.29,0.14,33.33,33.33
dataset,dimensions,train_time,test_time,accuracy,f1
KKI,10000,0.08,0.03,48.0,48.0
dataset,dimensions,train_time,test_time,accuracy,f1
PTC_FM,10000,0.14,0.08,53.33,53.33
dataset,dimensions,train_time,test_time,accuracy,f1
PTC_MR,10000,0.15,0.08,50.0,50.0
dataset,dimensions,train_time,test_time,accuracy,f1
PTC_MM,10000,0.2,0.09,54.46,54.46
dataset,dimensions,train_time,test_time,accuracy,f1
PTC_FR,10000,0.13,0.08,49.06,49.06
dataset,dimensions,train_time,test_time,accuracy,f1
MUTAG,10000,0.08,0.06,80.7,80.7
dataset,dimensions,train_time,test_time,accuracy,f1
NCI1,10000,3.01,1.41,63.99,63.99
dataset,dimensions,train_time,test_time,accuracy,f1
ENZYMES,10000,0.69,0.31,40.56,40.56
dataset,dimensions,train_time,test_time,accuracy,f1
PROTEINS,10000,1.27,0.58,69.46,69.46
dataset,dimensions,train_time,test_time,accuracy,f1
DD,10000,9.51,4.42,70.9,70.9
