dataset,dimensions,train_time,test_time,accuracy,f1
PTC_FR,10000,0.39,0.18,52.83,52.83
dataset,dimensions,train_time,test_time,accuracy,f1
MUTAG,10000,0.23,0.11,89.47,89.47
dataset,dimensions,train_time,test_time,accuracy,f1
NCI1,10000,8.21,3.71,64.31,64.31
dataset,dimensions,train_time,test_time,accuracy,f1
ENZYMES,10000,1.32,0.55,19.44,19.44
dataset,dimensions,train_time,test_time,accuracy,f1
PROTEINS,10000,2.76,1.35,65.27,65.27
dataset,dimensions,train_time,test_time,accuracy,f1
DD,10000,19.59,8.55,72.32,72.32
