Name,Accuracy,TrainTime,TestTime,Dimensions,Method,Encoding,Iterations
Abalone,0.34770116209983826,0.6383631229400635,0.5976510047912598,10000,add,sequence,1
AcuteInflammation,0.46666666865348816,0.01708698272705078,0.019626855850219727,10000,add,sequence,1
AcuteNephritis,0.4000000059604645,0.015597105026245117,0.0186769962310791,10000,add,sequence,1
Annealing,0.0,0.22978591918945312,0.08325576782226562,10000,add,sequence,1
Arrhythmia,0.09734513610601425,0.21516990661621094,0.13335776329040527,10000,add,sequence,1
AudiologyStd,0.1599999964237213,0.05063819885253906,0.0198822021484375,10000,add,sequence,1
BalanceScale,0.4615384638309479,0.19668102264404297,0.15532994270324707,10000,add,sequence,1
Balloons,0.25,0.816608190536499,0.08608722686767578,10000,add,sequence,1
Abalone,0.5977011322975159,1.280827283859253,0.9182701110839844,10000,add,hashmap,1
AcuteInflammation,1.0,0.04248309135437012,0.024499893188476562,10000,add,hashmap,1
AcuteNephritis,1.0,0.061737060546875,0.027796030044555664,10000,add,hashmap,1
Annealing,0.6499999761581421,0.33461785316467285,0.08922219276428223,10000,add,hashmap,1
Arrhythmia,0.4247787594795227,0.9639177322387695,0.3453183174133301,10000,add,hashmap,1
AudiologyStd,0.8399999737739563,0.101898193359375,0.028900861740112305,10000,add,hashmap,1
BalanceScale,0.7756410241127014,0.12290191650390625,0.10905981063842773,10000,add,hashmap,1
Balloons,1.0,0.004124164581298828,0.0039081573486328125,10000,add,hashmap,1
Abalone,0.5938697457313538,1.1351189613342285,0.7899630069732666,10000,add,flocet,1
AcuteInflammation,1.0,0.03325390815734863,0.029786109924316406,10000,add,flocet,1
AcuteNephritis,1.0,0.0313417911529541,0.023895978927612305,10000,add,flocet,1
Annealing,0.4699999988079071,0.8695361614227295,0.151580810546875,10000,add,flocet,1
Arrhythmia,0.38053098320961,0.6641700267791748,0.4088771343231201,10000,add,flocet,1
AudiologyStd,0.8399999737739563,0.1344308853149414,0.03383994102478027,10000,add,flocet,1
BalanceScale,0.7884615659713745,0.15245485305786133,0.1195838451385498,10000,add,flocet,1
Balloons,1.0,0.00576472282409668,0.003877878189086914,10000,add,flocet,1
Abalone,0.5507662892341614,1.155489206314087,0.9681189060211182,10000,add,sinusoid,1
AcuteInflammation,1.0,0.03347897529602051,0.025599956512451172,10000,add,sinusoid,1
AcuteNephritis,1.0,0.036435842514038086,0.023868322372436523,10000,add,sinusoid,1
Annealing,0.7599999904632568,0.29320383071899414,0.0813300609588623,10000,add,sinusoid,1
Arrhythmia,0.4247787594795227,0.17580604553222656,0.11932802200317383,10000,add,sinusoid,1
AudiologyStd,0.800000011920929,0.07920694351196289,0.02344822883605957,10000,add,sinusoid,1
BalanceScale,0.7820512652397156,0.17473673820495605,0.12333393096923828,10000,add,sinusoid,1
Balloons,1.0,0.005951881408691406,0.007302045822143555,10000,add,sinusoid,1
Abalone,0.5584291219711304,2.8096230030059814,1.34869384765625,10000,add,generic,1
AcuteInflammation,1.0,0.056098222732543945,0.030241012573242188,10000,add,generic,1
AcuteNephritis,1.0,0.05577206611633301,0.032961130142211914,10000,add,generic,1
Annealing,0.5199999809265137,2.806551933288574,0.3914036750793457,10000,add,generic,1
Arrhythmia,0.3451327383518219,10.518486976623535,3.469377040863037,10000,add,generic,1
AudiologyStd,0.7599999904632568,1.2004737854003906,0.18219399452209473,10000,add,generic,1
BalanceScale,0.6346153616905212,0.20701217651367188,0.12912797927856445,10000,add,generic,1
Balloons,0.5,0.005771160125732422,0.003787994384765625,10000,add,generic,1
Abalone,0.5948275923728943,11.330879926681519,0.8954660892486572,10000,embedding,embed,1
AcuteInflammation,1.0,0.40825700759887695,0.03230118751525879,10000,embedding,embed,1
AcuteNephritis,1.0,0.3865211009979248,0.028398752212524414,10000,embedding,embed,1
Annealing,0.4699999988079071,5.761367082595825,0.08447623252868652,10000,embedding,embed,1
Arrhythmia,0.3185840845108032,16.85195803642273,4.686511993408203,10000,embedding,embed,1
AudiologyStd,0.800000011920929,2.412382125854492,0.023329973220825195,10000,embedding,embed,1
BalanceScale,0.7948718070983887,1.5872900485992432,0.11958599090576172,10000,embedding,embed,1
Balloons,1.0,0.11312413215637207,0.003688812255859375,10000,embedding,embed,1
