Name,Accuracy,TrainTime,TestTime,Dimensions,Method,Encoding,Iterations
Abalone,0.5593869686126709,7.480385065078735,10.89426565170288,10000,add,generic,1
AcuteInflammation,1.0,0.4500846862792969,0.2956845760345459,10000,add,generic,1
AcuteNephritis,1.0,0.4365851879119873,0.294421911239624,10000,add,generic,1
Adult,0.7637737393379211,140.58983731269836,84.42099213600159,10000,add,generic,1
Annealing,0.7599999904632568,17.162036657333374,3.0723047256469727,10000,add,generic,1
Arrhythmia,0.5840708017349243,44.2181613445282,11.928401708602905,10000,add,generic,1
AudiologyStd,0.0,4.354188680648804,0.8177750110626221,10000,add,generic,1
BalanceScale,0.8141025900840759,0.6542155742645264,0.7200310230255127,10000,add,generic,1
Balloons,0.5,0.016767263412475586,0.012818574905395508,10000,add,generic,1
Bank,0.8849557638168335,22.58448576927185,6.142637252807617,10000,add,generic,1
Blood,0.7647058963775635,1.6514039039611816,1.5362827777862549,10000,add,generic,1
BreastCancer,0.7042253613471985,1.5502841472625732,0.8841321468353271,10000,add,generic,1
BreastCancerWisc,0.800000011920929,3.9201502799987793,1.3277554512023926,10000,add,generic,1
BreastCancerWiscDiag,0.6338028311729431,10.3914475440979,2.760734796524048,10000,add,generic,1
BreastCancerWiscProg,0.7755101919174194,3.69637131690979,1.5892505645751953,10000,add,generic,1
BreastTissue,0.42307692766189575,0.49552011489868164,0.32186245918273926,10000,add,generic,1
Car,0.7037037014961243,6.604414224624634,1.9172186851501465,10000,add,generic,1
Cardiotocography10Clases,0.2749529182910919,9.73196291923523,4.100880861282349,10000,add,generic,1
Cardiotocography3Clases,0.7796609997749329,8.50943660736084,3.2478601932525635,10000,add,generic,1
ChessKrvk,0.1695181131362915,47.315507888793945,25.780712604522705,10000,add,generic,1
ChessKrvkp,0.6658322811126709,31.712449073791504,9.939427375793457,10000,add,generic,1
CongressionalVoting,0.6146789193153381,4.394531488418579,1.9880237579345703,10000,add,generic,1
ConnBenchSonarMinesRocks,0.5384615659713745,7.547541856765747,2.8405423164367676,10000,add,generic,1
ConnBenchVowelDeterding,0.6969696879386902,4.782999277114868,2.7412309646606445,10000,add,generic,1
Connect4,0.7538042664527893,1024.6719315052032,451.38940477371216,10000,add,generic,1
Contrac,0.42934781312942505,3.47937273979187,4.54682993888855,10000,add,generic,1
CreditApproval,0.819767415523529,6.495890140533447,2.8199613094329834,10000,add,generic,1
CylinderBands,0.609375,10.952849626541138,4.255895376205444,10000,add,generic,1
Dermatology,0.5714285969734192,7.360693454742432,0.8307240009307861,10000,add,generic,1
Echocardiogram,0.6969696879386902,0.6557493209838867,0.4372880458831787,10000,add,generic,1
Ecoli,0.4523809552192688,1.2987616062164307,0.9004204273223877,10000,add,generic,1
EnergyY1,0.8125,3.6189019680023193,2.214589834213257,10000,add,generic,1
EnergyY2,0.8125,1.6777465343475342,0.6200604438781738,10000,add,generic,1
Fertility,0.8799999952316284,0.5472691059112549,0.3126835823059082,10000,add,generic,1
Flags,0.3333333432674408,3.2303056716918945,1.2961277961730957,10000,add,generic,1
Glass,0.4528301954269409,0.9332356452941895,0.5656323432922363,10000,add,generic,1
HabermanSurvival,0.7368420958518982,0.4656867980957031,0.5346431732177734,10000,add,generic,1
HayesRoth,0.25,0.27296924591064453,0.19562101364135742,10000,add,generic,1
HeartCleveland,0.5657894611358643,1.0372002124786377,0.8331987857818604,10000,add,generic,1
HeartHungarian,0.6712328791618347,2.099576473236084,1.0858490467071533,10000,add,generic,1
HeartSwitzerland,0.4193548262119293,0.7862489223480225,0.46041178703308105,10000,add,generic,1
HeartVa,0.30000001192092896,1.4690592288970947,0.7408149242401123,10000,add,generic,1
Hepatitis,0.7948718070983887,1.7200696468353271,0.6031277179718018,10000,add,generic,1
HillValley,0.4768976867198944,40.05993390083313,46.270464181900024,10000,add,generic,1
HorseColic,0.6029411554336548,5.88924765586853,1.145784854888916,10000,add,generic,1
IlpdIndianLiver,0.7191780805587769,1.7120404243469238,0.9072887897491455,10000,add,generic,1
ImageSegmentation,0.1428571492433548,1.743072271347046,28.58518886566162,10000,add,generic,1
Ionosphere,0.6477272510528564,4.040581464767456,0.7780506610870361,10000,add,generic,1
Iris,0.9729729890823364,0.19369292259216309,0.30484652519226074,10000,add,generic,1
LedDisplay,0.6679999828338623,4.472960710525513,2.6732192039489746,10000,add,generic,1
Lenses,0.8333333134651184,0.048712968826293945,0.049964189529418945,10000,add,generic,1
Letter,0.5659999847412109,143.91241359710693,78.60698008537292,10000,add,generic,1
Libras,0.4888888895511627,10.6290283203125,3.3973002433776855,10000,add,generic,1
LowResSpect,0.5563910007476807,29.177855730056763,6.053668022155762,10000,add,generic,1
LungCancer,0.625,0.9382491111755371,0.1121816635131836,10000,add,generic,1
Lymphography,0.8108108043670654,1.0256876945495605,0.20200467109680176,10000,add,generic,1
Magic,0.6483701467514038,55.56914973258972,34.82743978500366,10000,add,generic,1
Mammographic,0.7583333253860474,3.0967910289764404,0.9010820388793945,10000,add,generic,1
Miniboone,0.7193996906280518,1519.8977885246277,516.5982649326324,10000,add,generic,1
MolecBiolPromoter,0.8846153616905212,1.8237793445587158,0.3688530921936035,10000,add,generic,1
MolecBiolSplice,0.519447922706604,38.615906715393066,13.326524496078491,10000,add,generic,1
Monks1,0.5231481194496155,0.6057047843933105,1.4166603088378906,10000,add,generic,1
Monks2,0.6712962985038757,0.7802388668060303,1.2465028762817383,10000,add,generic,1
Monks3,0.5277777910232544,0.6112208366394043,1.323782205581665,10000,add,generic,1
