epoch,accuracy,resources,train_duration,train_set_size,test_duration,test_set_size,dimensions,device,dataset
1,0.7928159236907959,1.0,16.19854211807251,6238,1.477459192276001,1559,10000,cuda:2,ISOLET
2,0.8646568655967712,1.0,14.550816774368286,6238,1.5809452533721924,1559,10000,cuda:2,ISOLET
3,0.8691469430923462,1.0,15.230669975280762,6238,1.6196200847625732,1559,10000,cuda:2,ISOLET
4,0.8890314698219299,1.0,15.561620712280273,6238,1.6877083778381348,1559,10000,cuda:2,ISOLET
5,0.9134060740470886,1.0,15.274691820144653,6238,1.619457721710205,1559,10000,cuda:2,ISOLET
6,0.9095574617385864,1.0,16.7445867061615,6238,1.6076867580413818,1559,10000,cuda:2,ISOLET
7,0.9108403325080872,1.0,16.1337149143219,6238,2.0217480659484863,1559,10000,cuda:2,ISOLET
8,0.9358563423156738,1.0,16.076319217681885,6238,1.6038317680358887,1559,10000,cuda:2,ISOLET
9,0.9345734715461731,1.0,12.939714670181274,6238,1.536283254623413,1559,10000,cuda:2,ISOLET
10,0.9313662648200989,1.0,15.199289321899414,6238,1.626654863357544,1559,10000,cuda:2,ISOLET
1,0.64913409948349,0.8999999761581421,14.82880687713623,6238,1.5879452228546143,1559,10000,cuda:2,ISOLET
2,0.847338080406189,0.8999999761581421,14.441339492797852,6238,1.534604787826538,1559,10000,cuda:2,ISOLET
3,0.879409909248352,0.8999999761581421,15.216987133026123,6238,1.7538399696350098,1559,10000,cuda:2,ISOLET
4,0.8550353050231934,0.8999999761581421,13.208948373794556,6238,1.4891512393951416,1559,10000,cuda:2,ISOLET
5,0.8980115652084351,0.8999999761581421,14.403846740722656,6238,2.0495388507843018,1559,10000,cuda:2,ISOLET
6,0.9108403325080872,0.8999999761581421,15.738741397857666,6238,1.5862619876861572,1559,10000,cuda:2,ISOLET
7,0.8742784261703491,0.8999999761581421,14.715527057647705,6238,1.5689513683319092,1559,10000,cuda:2,ISOLET
8,0.9095574617385864,0.8999999761581421,15.650187253952026,6238,1.6101672649383545,1559,10000,cuda:2,ISOLET
9,0.9243105053901672,0.8999999761581421,14.802916288375854,6238,1.6316752433776855,1559,10000,cuda:2,ISOLET
10,0.9057087898254395,0.8999999761581421,14.954524517059326,6238,1.5776176452636719,1559,10000,cuda:2,ISOLET
1,0.8120590448379517,0.800000011920929,14.269331932067871,6238,1.6036357879638672,1559,10000,cuda:2,ISOLET
2,0.8806927800178528,0.800000011920929,15.117908716201782,6238,1.6275577545166016,1559,10000,cuda:2,ISOLET
3,0.8325850367546082,0.800000011920929,14.157648086547852,6238,1.5803453922271729,1559,10000,cuda:2,ISOLET
4,0.8787684440612793,0.800000011920929,14.094156265258789,6238,1.6128859519958496,1559,10000,cuda:2,ISOLET
5,0.879409909248352,0.800000011920929,13.849337577819824,6238,1.5886390209197998,1559,10000,cuda:2,ISOLET
6,0.903143048286438,0.800000011920929,14.280276536941528,6238,1.6019706726074219,1559,10000,cuda:2,ISOLET
7,0.9044259190559387,0.800000011920929,14.539634466171265,6238,1.5600018501281738,1559,10000,cuda:2,ISOLET
8,0.9326491355895996,0.800000011920929,13.9136643409729,6238,1.3067028522491455,1559,10000,cuda:2,ISOLET
9,0.9057087898254395,0.800000011920929,11.375605344772339,6238,1.2740147113800049,1559,10000,cuda:2,ISOLET
10,0.9108403325080872,0.800000011920929,11.184793710708618,6238,1.200028896331787,1559,10000,cuda:2,ISOLET
1,0.7729313969612122,0.699999988079071,10.79057788848877,6238,1.2655494213104248,1559,10000,cuda:2,ISOLET
2,0.7908916473388672,0.699999988079071,10.520609617233276,6238,1.320894479751587,1559,10000,cuda:2,ISOLET
3,0.7960231304168701,0.699999988079071,10.784183740615845,6238,1.2047879695892334,1559,10000,cuda:2,ISOLET
4,0.9076331257820129,0.699999988079071,10.739830732345581,6238,1.3062148094177246,1559,10000,cuda:2,ISOLET
5,0.8345093131065369,0.699999988079071,10.274647235870361,6238,1.2277717590332031,1559,10000,cuda:2,ISOLET
6,0.9057087898254395,0.699999988079071,10.582617998123169,6238,1.20351243019104,1559,10000,cuda:2,ISOLET
7,0.8819756507873535,0.699999988079071,10.536047458648682,6238,1.2649331092834473,1559,10000,cuda:2,ISOLET
8,0.8864657282829285,0.699999988079071,10.40350604057312,6238,1.261326789855957,1559,10000,cuda:2,ISOLET
9,0.9101988673210144,0.699999988079071,10.402684211730957,6238,1.2776799201965332,1559,10000,cuda:2,ISOLET
10,0.9114817380905151,0.699999988079071,10.502289056777954,6238,1.1652872562408447,1559,10000,cuda:2,ISOLET
1,0.7960231304168701,0.6000000238418579,9.882661581039429,6238,1.2409896850585938,1559,10000,cuda:2,ISOLET
2,0.7588197588920593,0.6000000238418579,10.066162109375,6238,1.1987414360046387,1559,10000,cuda:2,ISOLET
3,0.8550353050231934,0.6000000238418579,9.759705305099487,6238,1.2621848583221436,1559,10000,cuda:2,ISOLET
4,0.8915972113609314,0.6000000238418579,9.837651252746582,6238,1.193727731704712,1559,10000,cuda:2,ISOLET
5,0.8883900046348572,0.6000000238418579,9.74945878982544,6238,1.2108838558197021,1559,10000,cuda:2,ISOLET
6,0.9057087898254395,0.6000000238418579,9.68543529510498,6238,1.2429919242858887,1559,10000,cuda:2,ISOLET
7,0.8364336490631104,0.6000000238418579,9.713235139846802,6238,1.34173583984375,1559,10000,cuda:2,ISOLET
8,0.8460552096366882,0.6000000238418579,10.138642072677612,6238,1.2965490818023682,1559,10000,cuda:2,ISOLET
9,0.9134060740470886,0.6000000238418579,9.718024969100952,6238,1.243340253829956,1559,10000,cuda:2,ISOLET
10,0.8922386169433594,0.6000000238418579,9.726714849472046,6238,1.2850069999694824,1559,10000,cuda:2,ISOLET
1,0.7376523613929749,0.5,9.115825414657593,6238,1.2581760883331299,1559,10000,cuda:2,ISOLET
2,0.8441308736801147,0.5,9.179534912109375,6238,1.230208396911621,1559,10000,cuda:2,ISOLET
3,0.8678640723228455,0.5,9.090322732925415,6238,1.317246437072754,1559,10000,cuda:2,ISOLET
4,0.8890314698219299,0.5,9.013702154159546,6238,1.2397689819335938,1559,10000,cuda:2,ISOLET
5,0.8768441677093506,0.5,9.18994951248169,6238,1.2870371341705322,1559,10000,cuda:2,ISOLET
6,0.8864657282829285,0.5,9.319520235061646,6238,1.2888941764831543,1559,10000,cuda:2,ISOLET
7,0.8896728754043579,0.5,9.12459135055542,6238,1.2273564338684082,1559,10000,cuda:2,ISOLET
8,0.8954458236694336,0.5,9.235374927520752,6238,1.2396492958068848,1559,10000,cuda:2,ISOLET
9,0.8890314698219299,0.5,9.268985033035278,6238,1.266087532043457,1559,10000,cuda:2,ISOLET
10,0.9005773067474365,0.5,9.32065725326538,6238,1.2577250003814697,1559,10000,cuda:2,ISOLET
1,0.787684440612793,0.4000000059604645,8.407586336135864,6238,1.202057123184204,1559,10000,cuda:2,ISOLET
2,0.8120590448379517,0.4000000059604645,8.38886547088623,6238,1.2389142513275146,1559,10000,cuda:2,ISOLET
3,0.8332264423370361,0.4000000059604645,8.786083459854126,6238,1.2575881481170654,1559,10000,cuda:2,ISOLET
4,0.8986530303955078,0.4000000059604645,8.785701751708984,6238,1.20103120803833,1559,10000,cuda:2,ISOLET
5,0.7921745181083679,0.4000000059604645,8.359259843826294,6238,1.214237928390503,1559,10000,cuda:2,ISOLET
6,0.8101347088813782,0.4000000059604645,8.083292007446289,6238,1.2032628059387207,1559,10000,cuda:2,ISOLET
7,0.9063502550125122,0.4000000059604645,8.38427186012268,6238,1.2785735130310059,1559,10000,cuda:2,ISOLET
8,0.8261706233024597,0.4000000059604645,8.246737480163574,6238,1.2018139362335205,1559,10000,cuda:2,ISOLET
9,0.860808253288269,0.4000000059604645,8.456095218658447,6238,1.268958330154419,1559,10000,cuda:2,ISOLET
10,0.8543938994407654,0.4000000059604645,8.314937114715576,6238,1.2535505294799805,1559,10000,cuda:2,ISOLET
1,0.7710070610046387,0.30000001192092896,7.652215242385864,6238,1.273127794265747,1559,10000,cuda:2,ISOLET
2,0.728030800819397,0.30000001192092896,7.5568459033966064,6238,1.2140874862670898,1559,10000,cuda:2,ISOLET
3,0.7562540173530579,0.30000001192092896,7.529742479324341,6238,1.2468459606170654,1559,10000,cuda:2,ISOLET
4,0.8499038219451904,0.30000001192092896,7.648391008377075,6238,1.1863367557525635,1559,10000,cuda:2,ISOLET
5,0.8184733986854553,0.30000001192092896,7.788890600204468,6238,1.3351435661315918,1559,10000,cuda:2,ISOLET
6,0.7864015698432922,0.30000001192092896,7.687641859054565,6238,1.18202805519104,1559,10000,cuda:2,ISOLET
7,0.8511866927146912,0.30000001192092896,7.702391624450684,6238,1.2100598812103271,1559,10000,cuda:2,ISOLET
8,0.884541392326355,0.30000001192092896,7.858589172363281,6238,1.21510648727417,1559,10000,cuda:2,ISOLET
9,0.8402822613716125,0.30000001192092896,7.776708364486694,6238,1.1953065395355225,1559,10000,cuda:2,ISOLET
10,0.8832585215568542,0.30000001192092896,7.4266581535339355,6238,1.2885777950286865,1559,10000,cuda:2,ISOLET
1,0.5728030800819397,0.20000000298023224,6.8877270221710205,6238,1.2163407802581787,1559,10000,cuda:2,ISOLET
2,0.7062219381332397,0.20000000298023224,6.372311115264893,6238,1.176271915435791,1559,10000,cuda:2,ISOLET
3,0.8114175796508789,0.20000000298023224,6.878787040710449,6238,1.2405509948730469,1559,10000,cuda:2,ISOLET
4,0.8665811419487,0.20000000298023224,6.717513084411621,6238,1.20082688331604,1559,10000,cuda:2,ISOLET
5,0.7556126117706299,0.20000000298023224,6.680672883987427,6238,1.2039885520935059,1559,10000,cuda:2,ISOLET
6,0.8101347088813782,0.20000000298023224,6.979394435882568,6238,1.332646369934082,1559,10000,cuda:2,ISOLET
7,0.8364336490631104,0.20000000298023224,6.766079425811768,6238,1.214571475982666,1559,10000,cuda:2,ISOLET
8,0.865939736366272,0.20000000298023224,7.003182411193848,6238,1.2154290676116943,1559,10000,cuda:2,ISOLET
9,0.7838358283042908,0.20000000298023224,6.8277928829193115,6238,1.252103567123413,1559,10000,cuda:2,ISOLET
10,0.8268120884895325,0.20000000298023224,6.8378870487213135,6238,1.232295036315918,1559,10000,cuda:2,ISOLET
1,0.6600385308265686,0.10000000149011612,6.099864959716797,6238,1.3797364234924316,1559,10000,cuda:2,ISOLET
2,0.6209108829498291,0.10000000149011612,6.044806480407715,6238,1.1789536476135254,1559,10000,cuda:2,ISOLET
3,0.6452854871749878,0.10000000149011612,5.941441059112549,6238,1.2656269073486328,1559,10000,cuda:2,ISOLET
4,0.7620269656181335,0.10000000149011612,6.19858455657959,6238,1.2529749870300293,1559,10000,cuda:2,ISOLET
5,0.7928159236907959,0.10000000149011612,5.8503499031066895,6238,1.2870941162109375,1559,10000,cuda:2,ISOLET
6,0.7421424388885498,0.10000000149011612,6.044338703155518,6238,1.3238635063171387,1559,10000,cuda:2,ISOLET
7,0.7601026296615601,0.10000000149011612,6.068499326705933,6238,1.3018503189086914,1559,10000,cuda:2,ISOLET
8,0.8389993906021118,0.10000000149011612,6.075882434844971,6238,1.3039605617523193,1559,10000,cuda:2,ISOLET
9,0.7992302775382996,0.10000000149011612,5.944835424423218,6238,1.2761874198913574,1559,10000,cuda:2,ISOLET
10,0.8678640723228455,0.10000000149011612,6.248266935348511,6238,1.3043792247772217,1559,10000,cuda:2,ISOLET
1,0.8075689673423767,0.0,5.44640588760376,6238,1.2386174201965332,1559,10000,cuda:2,ISOLET
2,0.7953816652297974,0.0,5.367014408111572,6238,1.2607436180114746,1559,10000,cuda:2,ISOLET
3,0.7915330529212952,0.0,5.209052085876465,6238,1.288341999053955,1559,10000,cuda:2,ISOLET
4,0.7928159236907959,0.0,5.451941013336182,6238,1.2483363151550293,1559,10000,cuda:2,ISOLET
5,0.7960231304168701,0.0,5.41292405128479,6238,1.2185144424438477,1559,10000,cuda:2,ISOLET
6,0.7960231304168701,0.0,5.3909666538238525,6238,1.2472126483917236,1559,10000,cuda:2,ISOLET
7,0.7953816652297974,0.0,5.30872917175293,6238,1.2318687438964844,1559,10000,cuda:2,ISOLET
8,0.7992302775382996,0.0,5.40753173828125,6238,1.2392637729644775,1559,10000,cuda:2,ISOLET
9,0.8030789494514465,0.0,5.372759580612183,6238,1.2932178974151611,1559,10000,cuda:2,ISOLET
10,0.8075689673423767,0.0,5.563495397567749,6238,1.3582768440246582,1559,10000,cuda:2,ISOLET
1,0.8313021659851074,1.0,13.157942533493042,6238,1.2186641693115234,1559,10000,cuda:2,ISOLET
2,0.7889673113822937,1.0,12.427322626113892,6238,1.2420661449432373,1559,10000,cuda:2,ISOLET
3,0.8986530303955078,1.0,12.462917566299438,6238,1.2496976852416992,1559,10000,cuda:2,ISOLET
4,0.8806927800178528,1.0,12.505592346191406,6238,1.2675855159759521,1559,10000,cuda:2,ISOLET
5,0.8890314698219299,1.0,12.652365684509277,6238,1.2451756000518799,1559,10000,cuda:2,ISOLET
6,0.9243105053901672,1.0,12.505707740783691,6238,1.242060899734497,1559,10000,cuda:2,ISOLET
7,0.9358563423156738,1.0,12.641196012496948,6238,1.1841683387756348,1559,10000,cuda:2,ISOLET
8,0.9018601775169373,1.0,12.675523281097412,6238,1.4061074256896973,1559,10000,cuda:2,ISOLET
9,0.9288005232810974,1.0,12.723291397094727,6238,1.248441457748413,1559,10000,cuda:2,ISOLET
10,0.9268762469291687,1.0,12.391132831573486,6238,1.259124994277954,1559,10000,cuda:2,ISOLET
1,0.686337411403656,0.8999999761581421,16.6281099319458,6238,1.6345727443695068,1559,10000,cuda:2,ISOLET
2,0.8723540902137756,0.8999999761581421,14.505766868591309,6238,1.6426053047180176,1559,10000,cuda:2,ISOLET
3,0.8576010465621948,0.8999999761581421,13.906992673873901,6238,1.2046937942504883,1559,10000,cuda:2,ISOLET
4,0.8768441677093506,0.8999999761581421,11.688574075698853,6238,1.240410327911377,1559,10000,cuda:2,ISOLET
5,0.8813342452049255,0.8999999761581421,11.810304880142212,6238,1.2352535724639893,1559,10000,cuda:2,ISOLET
6,0.9005773067474365,0.8999999761581421,12.160359621047974,6238,1.2968904972076416,1559,10000,cuda:2,ISOLET
7,0.8960872888565063,0.8999999761581421,12.002628803253174,6238,1.2446904182434082,1559,10000,cuda:2,ISOLET
8,0.8723540902137756,0.8999999761581421,12.264533519744873,6238,1.3095266819000244,1559,10000,cuda:2,ISOLET
9,0.8871071338653564,0.8999999761581421,11.85060429573059,6238,1.2188515663146973,1559,10000,cuda:2,ISOLET
10,0.9300833940505981,0.8999999761581421,12.215699434280396,6238,1.3872177600860596,1559,10000,cuda:2,ISOLET
1,0.8171905279159546,0.800000011920929,11.783127784729004,6238,1.2557177543640137,1559,10000,cuda:2,ISOLET
2,0.8447723388671875,0.800000011920929,11.468496322631836,6238,1.313028335571289,1559,10000,cuda:2,ISOLET
3,0.8364336490631104,0.800000011920929,11.545774936676025,6238,1.259225606918335,1559,10000,cuda:2,ISOLET
4,0.8781270384788513,0.800000011920929,11.455300092697144,6238,1.2608146667480469,1559,10000,cuda:2,ISOLET
5,0.9095574617385864,0.800000011920929,11.457519054412842,6238,1.3274662494659424,1559,10000,cuda:2,ISOLET
6,0.9101988673210144,0.800000011920929,11.327282667160034,6238,1.3156530857086182,1559,10000,cuda:2,ISOLET
7,0.8871071338653564,0.800000011920929,11.335969686508179,6238,1.2660579681396484,1559,10000,cuda:2,ISOLET
8,0.9057087898254395,0.800000011920929,11.418184280395508,6238,1.2990670204162598,1559,10000,cuda:2,ISOLET
9,0.925593376159668,0.800000011920929,11.678611040115356,6238,1.2444837093353271,1559,10000,cuda:2,ISOLET
10,0.9275176525115967,0.800000011920929,11.375293731689453,6238,1.2063980102539062,1559,10000,cuda:2,ISOLET
1,0.7754971385002136,0.699999988079071,10.509081602096558,6238,1.215583324432373,1559,10000,cuda:2,ISOLET
2,0.8300192952156067,0.699999988079071,10.352019786834717,6238,1.2194061279296875,1559,10000,cuda:2,ISOLET
3,0.8556767702102661,0.699999988079071,10.559433460235596,6238,1.2152886390686035,1559,10000,cuda:2,ISOLET
4,0.8595253825187683,0.699999988079071,10.373548030853271,6238,1.1821439266204834,1559,10000,cuda:2,ISOLET
5,0.879409909248352,0.699999988079071,10.372427701950073,6238,1.1862735748291016,1559,10000,cuda:2,ISOLET
6,0.8723540902137756,0.699999988079071,10.573186874389648,6238,1.3284897804260254,1559,10000,cuda:2,ISOLET
7,0.8896728754043579,0.699999988079071,10.484039783477783,6238,1.3323945999145508,1559,10000,cuda:2,ISOLET
8,0.9127646088600159,0.699999988079071,10.468600034713745,6238,1.3267931938171387,1559,10000,cuda:2,ISOLET
9,0.9108403325080872,0.699999988079071,10.225707769393921,6238,1.1714720726013184,1559,10000,cuda:2,ISOLET
10,0.9050673842430115,0.699999988079071,10.497501611709595,6238,1.2068157196044922,1559,10000,cuda:2,ISOLET
1,0.745991051197052,0.6000000238418579,10.109825849533081,6238,1.3274643421173096,1559,10000,cuda:2,ISOLET
2,0.7524054050445557,0.6000000238418579,9.713884830474854,6238,1.2417261600494385,1559,10000,cuda:2,ISOLET
3,0.806286096572876,0.6000000238418579,9.706074714660645,6238,1.2810688018798828,1559,10000,cuda:2,ISOLET
4,0.8441308736801147,0.6000000238418579,9.774361610412598,6238,1.1797945499420166,1559,10000,cuda:2,ISOLET
5,0.8479794859886169,0.6000000238418579,9.81609582901001,6238,1.1818046569824219,1559,10000,cuda:2,ISOLET
6,0.8948044180870056,0.6000000238418579,9.82687783241272,6238,1.1927564144134521,1559,10000,cuda:2,ISOLET
7,0.8980115652084351,0.6000000238418579,9.714949369430542,6238,1.1752188205718994,1559,10000,cuda:2,ISOLET
8,0.9159718155860901,0.6000000238418579,9.8803870677948,6238,1.2227351665496826,1559,10000,cuda:2,ISOLET
9,0.9159718155860901,0.6000000238418579,9.897815465927124,6238,1.239121675491333,1559,10000,cuda:2,ISOLET
10,0.8935215473175049,0.6000000238418579,9.668210744857788,6238,1.2839674949645996,1559,10000,cuda:2,ISOLET
1,0.8165491223335266,0.5,8.975443363189697,6238,1.230539321899414,1559,10000,cuda:2,ISOLET
2,0.76908278465271,0.5,9.30944275856018,6238,1.233788251876831,1559,10000,cuda:2,ISOLET
3,0.8492623567581177,0.5,9.190692901611328,6238,1.2946138381958008,1559,10000,cuda:2,ISOLET
4,0.8576010465621948,0.5,9.207024812698364,6238,1.5908081531524658,1559,10000,cuda:2,ISOLET
5,0.8717126846313477,0.5,9.403686046600342,6238,1.2351329326629639,1559,10000,cuda:2,ISOLET
