accuracy,train_duration,train_set_size,test_duration,test_set_size,dimensions,device,dataset
0.8543938994407654,6.399134159088135,6238,1.6794514656066895,1559,10000,cuda:2,ISOLET
0.8499038219451904,6.395412445068359,6238,0.6656007766723633,1559,10000,cuda:2,ISOLET
0.8537524342536926,6.266201019287109,6238,0.6686162948608398,1559,10000,cuda:2,ISOLET
0.8486209511756897,6.334901571273804,6238,0.6706943511962891,1559,10000,cuda:2,ISOLET
0.8550353050231934,6.4583330154418945,6238,0.6698102951049805,1559,10000,cuda:2,ISOLET
0.8537524342536926,6.281993389129639,6238,0.669933557510376,1559,10000,cuda:2,ISOLET
0.8505452275276184,5.968510866165161,6238,0.6699323654174805,1559,10000,cuda:2,ISOLET
0.8486209511756897,6.232401609420776,6238,0.6704134941101074,1559,10000,cuda:2,ISOLET
0.8518280982971191,6.12091588973999,6238,0.6708624362945557,1559,10000,cuda:2,ISOLET
0.8447723388671875,6.3837244510650635,6238,0.6704881191253662,1559,10000,cuda:2,ISOLET
