accuracy,train_duration,train_set_size,test_duration,test_set_size,dimensions,device,dataset
0.8279999494552612,82.51163983345032,60000,6.096441745758057,10000,10000,cuda:3,MNIST
0.8263999819755554,99.31887936592102,60000,5.350019693374634,10000,10000,cuda:3,MNIST
0.8240000009536743,85.30009365081787,60000,5.289465665817261,10000,10000,cuda:3,MNIST
0.8337999582290649,86.0802366733551,60000,5.294902086257935,10000,10000,cuda:3,MNIST
0.8288999795913696,85.99671030044556,60000,5.3040478229522705,10000,10000,cuda:3,MNIST
0.826200008392334,86.01391172409058,60000,5.30648946762085,10000,10000,cuda:3,MNIST
0.8273999691009521,86.19872641563416,60000,5.300682783126831,10000,10000,cuda:3,MNIST
0.82669997215271,104.31657528877258,60000,5.336698532104492,10000,10000,cuda:3,MNIST
0.8246999979019165,86.07553195953369,60000,5.2947258949279785,10000,10000,cuda:3,MNIST
0.8258000016212463,86.11909627914429,60000,5.291517972946167,10000,10000,cuda:3,MNIST
