dataset,dimensions,train_time,test_time,accuracy,f1
PTC_FM,10000,0.24,0.11,58.1,58.1
dataset,dimensions,train_time,test_time,accuracy,f1
MUTAG,10000,0.14,0.07,77.19,77.19
dataset,dimensions,train_time,test_time,accuracy,f1
NCI1,10000,3.31,1.64,60.75,60.75
dataset,dimensions,train_time,test_time,accuracy,f1
ENZYMES,10000,0.52,0.27,19.44,19.44
dataset,dimensions,train_time,test_time,accuracy,f1
PROTEINS,10000,1.27,0.55,67.96,67.96
dataset,dimensions,train_time,test_time,accuracy,f1
DD,10000,9.24,3.39,74.58,74.58
