dataset,dimensions,train_time,test_time,accuracy,f1
PTC_FM,10000,0.32,0.17,53.33,53.33
dataset,dimensions,train_time,test_time,accuracy,f1
MUTAG,10000,0.16,0.09,85.96,85.96
dataset,dimensions,train_time,test_time,accuracy,f1
NCI1,10000,6.66,2.65,61.07,61.07
dataset,dimensions,train_time,test_time,accuracy,f1
ENZYMES,10000,0.88,0.49,24.44,24.44
dataset,dimensions,train_time,test_time,accuracy,f1
PROTEINS,10000,2.14,1.01,67.66,67.66
dataset,dimensions,train_time,test_time,accuracy,f1
DD,10000,15.75,7.47,74.29,74.29
