dataset,dimensions,train_time,test_time,accuracy,f1
PTC_FM,10000,0.22,0.12,55.71,55.71
dataset,dimensions,train_time,test_time,accuracy,f1
MUTAG,10000,0.12,0.07,84.04,84.04
dataset,dimensions,train_time,test_time,accuracy,f1
NCI1,10000,3.24,1.69,63.62,63.62
dataset,dimensions,train_time,test_time,accuracy,f1
ENZYMES,10000,0.53,0.28,25.83,25.83
dataset,dimensions,train_time,test_time,accuracy,f1
PROTEINS,10000,1.16,0.56,67.34,67.34
dataset,dimensions,train_time,test_time,accuracy,f1
DD,10000,8.01,3.43,74.6,74.6
