dataset,dimensions,train_time,test_time,accuracy,f1
OHSU,10000,0.27,0.09,66.67,66.67
dataset,dimensions,train_time,test_time,accuracy,f1
KKI,10000,0.09,0.04,48.0,48.0
dataset,dimensions,train_time,test_time,accuracy,f1
PTC_FM,10000,0.32,0.2,49.52,49.52
dataset,dimensions,train_time,test_time,accuracy,f1
PTC_MR,10000,0.32,0.21,58.65,58.65
dataset,dimensions,train_time,test_time,accuracy,f1
PTC_MM,10000,0.33,0.15,55.45,55.45
dataset,dimensions,train_time,test_time,accuracy,f1
PTC_FR,10000,0.26,0.13,45.28,45.28
dataset,dimensions,train_time,test_time,accuracy,f1
MUTAG,10000,0.27,0.1,84.21,84.21
dataset,dimensions,train_time,test_time,accuracy,f1
NCI1,10000,3.88,1.82,63.58,63.58
dataset,dimensions,train_time,test_time,accuracy,f1
ENZYMES,10000,0.54,0.26,26.11,26.11
dataset,dimensions,train_time,test_time,accuracy,f1
PROTEINS,10000,1.23,0.56,65.57,65.57
dataset,dimensions,train_time,test_time,accuracy,f1
DD,10000,8.37,3.38,73.45,73.45
