Name,Accuracy,Time,Size,Classes,Dimensions,Method
Abalone,0.540229856967926,4.762263059616089,6266,3,10000,RandomProjection
Abalone,0.5354406237602234,4.699005603790283,6266,3,10000,RandomProjection
Abalone,0.5440613031387329,4.780142068862915,6266,3,10000,RandomProjection
Abalone,0.5335249304771423,4.775959014892578,6266,3,10000,RandomProjection
AcuteInflammation,1.0,0.13330960273742676,180,2,10000,RandomProjection
AcuteInflammation,1.0,0.12088680267333984,180,2,10000,RandomProjection
AcuteInflammation,1.0,0.1209096908569336,180,2,10000,RandomProjection
AcuteInflammation,1.0,0.12762141227722168,180,2,10000,RandomProjection
AcuteNephritis,1.0,0.1411147117614746,180,2,10000,RandomProjection
AcuteNephritis,0.7666666507720947,0.14067697525024414,180,2,10000,RandomProjection
AcuteNephritis,1.0,0.1404435634613037,180,2,10000,RandomProjection
AcuteNephritis,1.0,0.1404733657836914,180,2,10000,RandomProjection
Adult,0.6858915090560913,62.385276556015015,65122,2,10000,RandomProjection
Annealing,0.15000000596046448,0.726219654083252,1596,5,10000,RandomProjection
Arrhythmia,0.4955752193927765,0.6787688732147217,678,13,10000,RandomProjection
Arrhythmia,0.5398229956626892,0.6280689239501953,678,13,10000,RandomProjection
Arrhythmia,0.47787609696388245,0.7229490280151367,678,13,10000,RandomProjection
Arrhythmia,0.5752212405204773,0.6810493469238281,678,13,10000,RandomProjection
AudiologyStd,0.800000011920929,0.2040266990661621,342,18,10000,RandomProjection
BalanceScale,0.7243589758872986,0.6186912059783936,938,3,10000,RandomProjection
BalanceScale,0.8012820482254028,0.6080672740936279,938,3,10000,RandomProjection
BalanceScale,0.7628205418586731,0.6060619354248047,938,3,10000,RandomProjection
BalanceScale,0.7628205418586731,0.6066811084747314,938,3,10000,RandomProjection
Balloons,1.0,0.019165992736816406,24,2,10000,RandomProjection
Balloons,1.0,0.019122838973999023,24,2,10000,RandomProjection
Balloons,0.75,0.01915454864501953,24,2,10000,RandomProjection
Balloons,0.5,0.01916813850402832,24,2,10000,RandomProjection
Bank,0.6088495850563049,5.593460321426392,6782,2,10000,RandomProjection
