Name,Accuracy,Time,Size,Classes,Dimensions,Method
Twonorm,0.6670270562171936,3.876136302947998,11100,2,10000,RandomProjectionOnline
VertebralColumn2Clases,0.7922077775001526,0.1745588779449463,466,2,10000,RandomProjectionOnline
VertebralColumn3Clases,0.8181818127632141,0.19059205055236816,466,3,10000,RandomProjectionOnline
WallFollowing,0.759530782699585,3.1115798950195312,8184,4,10000,RandomProjectionOnline
Waveform,0.8447999954223633,2.5322978496551514,7500,3,10000,RandomProjectionOnline
WaveformNoise,0.8528000116348267,2.5882492065429688,7500,3,10000,RandomProjectionOnline
Wine,0.9545454382896423,0.11962699890136719,268,3,10000,RandomProjectionOnline
WineQualityRed,0.5024999976158142,0.9698848724365234,2398,6,10000,RandomProjectionOnline
WineQualityWhite,0.4803921580314636,2.9153401851654053,7348,7,10000,RandomProjectionOnline
Yeast,0.5579515099525452,0.8658239841461182,2226,10,10000,RandomProjectionOnline
Zoo,0.9599999785423279,0.07706093788146973,152,7,10000,RandomProjectionOnline
