Name,Accuracy,Time,Size,Classes,Dimensions,Method
Abalone,0.5747126340866089,156.33852100372314,6266,3,10000,MemoryModel
Abalone,0.5718390941619873,155.71115517616272,6266,3,10000,MemoryModel
Abalone,0.5603448152542114,140.57851696014404,6266,3,10000,MemoryModel
Abalone,0.5775862336158752,154.98732781410217,6266,3,10000,MemoryModel
AcuteInflammation,1.0,1.9193410873413086,180,2,10000,MemoryModel
AcuteInflammation,0.9333333373069763,1.8184301853179932,180,2,10000,MemoryModel
AcuteInflammation,1.0,1.8606889247894287,180,2,10000,MemoryModel
AcuteInflammation,0.9333333373069763,1.8624398708343506,180,2,10000,MemoryModel
AcuteNephritis,1.0,2.158829927444458,180,2,10000,MemoryModel
AcuteNephritis,1.0,2.2382330894470215,180,2,10000,MemoryModel
AcuteNephritis,1.0,2.281386137008667,180,2,10000,MemoryModel
AcuteNephritis,1.0,2.208900213241577,180,2,10000,MemoryModel
Adult,0.713039755821228,1102.2526099681854,65122,2,10000,MemoryModel
Annealing,0.28999999165534973,26.369576930999756,1596,5,10000,MemoryModel
Arrhythmia,0.5663716793060303,19.56096911430359,678,13,10000,MemoryModel
Arrhythmia,0.6106194853782654,18.8421630859375,678,13,10000,MemoryModel
Arrhythmia,0.5752212405204773,19.329248905181885,678,13,10000,MemoryModel
Arrhythmia,0.6017699241638184,17.97940993309021,678,13,10000,MemoryModel
AudiologyStd,0.6000000238418579,10.093656063079834,342,18,10000,MemoryModel
BalanceScale,0.8205128312110901,14.69225287437439,938,3,10000,MemoryModel
BalanceScale,0.8653846383094788,14.988578081130981,938,3,10000,MemoryModel
BalanceScale,0.7564102411270142,15.040993928909302,938,3,10000,MemoryModel
BalanceScale,0.8846153616905212,14.997310876846313,938,3,10000,MemoryModel
Balloons,0.75,0.9018409252166748,24,2,10000,MemoryModel
Balloons,0.75,0.7040591239929199,24,2,10000,MemoryModel
Balloons,1.0,0.806311845779419,24,2,10000,MemoryModel
Balloons,0.75,0.7885749340057373,24,2,10000,MemoryModel
Bank,0.7991150617599487,92.1109459400177,6782,2,10000,MemoryModel
Bank,0.8168141841888428,92.7634801864624,6782,2,10000,MemoryModel
Bank,0.7628318667411804,92.17304396629333,6782,2,10000,MemoryModel
Bank,0.8318583965301514,94.34949922561646,6782,2,10000,MemoryModel
Blood,0.427807480096817,20.335511922836304,1122,2,10000,MemoryModel
Blood,0.6470588445663452,20.920027017593384,1122,2,10000,MemoryModel
Blood,0.7112299203872681,20.497997999191284,1122,2,10000,MemoryModel
Blood,0.7486631274223328,20.043418884277344,1122,2,10000,MemoryModel
BreastCancer,0.7183098793029785,8.830867767333984,430,2,10000,MemoryModel
BreastCancer,0.49295774102211,8.475017070770264,430,2,10000,MemoryModel
BreastCancer,0.5352112650871277,8.713497877120972,430,2,10000,MemoryModel
BreastCancer,0.7042253613471985,8.499505043029785,430,2,10000,MemoryModel
BreastCancerWisc,0.8857142925262451,13.15710711479187,1048,2,10000,MemoryModel
BreastCancerWisc,0.6857143044471741,13.812344789505005,1048,2,10000,MemoryModel
BreastCancerWisc,0.8514285683631897,13.924154996871948,1048,2,10000,MemoryModel
BreastCancerWisc,0.8914285898208618,14.048267126083374,1048,2,10000,MemoryModel
BreastCancerWiscDiag,0.922535240650177,11.559022903442383,854,2,10000,MemoryModel
BreastCancerWiscDiag,0.9154929518699646,13.087723970413208,854,2,10000,MemoryModel
BreastCancerWiscDiag,0.9366196990013123,12.21188497543335,854,2,10000,MemoryModel
BreastCancerWiscDiag,0.8591549396514893,12.079108953475952,854,2,10000,MemoryModel
BreastCancerWiscProg,0.6734693646430969,5.660351037979126,298,2,10000,MemoryModel
BreastCancerWiscProg,0.7551020383834839,6.111316919326782,298,2,10000,MemoryModel
BreastCancerWiscProg,0.6938775777816772,6.114711761474609,298,2,10000,MemoryModel
BreastCancerWiscProg,0.5918367505073547,6.160204887390137,298,2,10000,MemoryModel
BreastTissue,0.692307710647583,5.277850151062012,160,6,10000,MemoryModel
BreastTissue,0.5384615659713745,5.06969690322876,160,6,10000,MemoryModel
BreastTissue,0.4615384638309479,4.861220121383667,160,6,10000,MemoryModel
BreastTissue,0.5769230723381042,5.221602916717529,160,6,10000,MemoryModel
Car,0.5092592835426331,44.37090301513672,2592,4,10000,MemoryModel
Car,0.4652777910232544,40.542701959609985,2592,4,10000,MemoryModel
Car,0.6643518805503845,40.92042517662048,2592,4,10000,MemoryModel
Car,0.7245370149612427,45.59699511528015,2592,4,10000,MemoryModel
Cardiotocography10Clases,0.6139359474182129,102.44515681266785,3190,10,10000,MemoryModel
Cardiotocography10Clases,0.6233521699905396,94.3692889213562,3190,10,10000,MemoryModel
Cardiotocography10Clases,0.5725046992301941,91.37319588661194,3190,10,10000,MemoryModel
Cardiotocography10Clases,0.6158192157745361,90.0812132358551,3190,10,10000,MemoryModel
Cardiotocography3Clases,0.8757061958312988,56.548131704330444,3190,3,10000,MemoryModel
Cardiotocography3Clases,0.8549906015396118,55.6958441734314,3190,3,10000,MemoryModel
Cardiotocography3Clases,0.8587570786476135,54.7769889831543,3190,3,10000,MemoryModel
Cardiotocography3Clases,0.8455743789672852,56.86002278327942,3190,3,10000,MemoryModel
ChessKrvk,0.2365269511938095,1792.5032141208649,42084,18,10000,MemoryModel
ChessKrvk,0.23909324407577515,1840.522864818573,42084,18,10000,MemoryModel
ChessKrvk,0.21613915264606476,1703.6866331100464,42084,18,10000,MemoryModel
ChessKrvk,0.2328200787305832,1451.6409261226654,42084,18,10000,MemoryModel
ChessKrvkp,0.957446813583374,51.89297413825989,4794,2,10000,MemoryModel
ChessKrvkp,0.9086357951164246,50.80591893196106,4794,2,10000,MemoryModel
ChessKrvkp,0.9399248957633972,51.39988589286804,4794,2,10000,MemoryModel
ChessKrvkp,0.936170220375061,51.484764099121094,4794,2,10000,MemoryModel
CongressionalVoting,0.47706422209739685,14.895100831985474,652,2,10000,MemoryModel
CongressionalVoting,0.5871559381484985,14.503366947174072,652,2,10000,MemoryModel
CongressionalVoting,0.5871559381484985,14.283912897109985,652,2,10000,MemoryModel
CongressionalVoting,0.5412843823432922,15.214008808135986,652,2,10000,MemoryModel
