Name,Accuracy,Time,Size,Classes,Dimensions,Method
Abalone,0.5842911601066589,31.648310899734497,6266,3,10000,SinusoidProjectionRegenerativeContinuous
Abalone,0.6245210766792297,31.54078197479248,6266,3,10000,SinusoidProjectionRegenerativeContinuous
Abalone,0.6235632300376892,31.73107385635376,6266,3,10000,SinusoidProjectionRegenerativeContinuous
Abalone,0.6149425506591797,31.691123723983765,6266,3,10000,SinusoidProjectionRegenerativeContinuous
AcuteInflammation,1.0,1.2585396766662598,180,2,10000,SinusoidProjectionRegenerativeContinuous
AcuteInflammation,1.0,1.258903980255127,180,2,10000,SinusoidProjectionRegenerativeContinuous
AcuteInflammation,1.0,1.2562472820281982,180,2,10000,SinusoidProjectionRegenerativeContinuous
AcuteInflammation,1.0,1.266547679901123,180,2,10000,SinusoidProjectionRegenerativeContinuous
AcuteNephritis,1.0,1.2551729679107666,180,2,10000,SinusoidProjectionRegenerativeContinuous
AcuteNephritis,1.0,1.2554452419281006,180,2,10000,SinusoidProjectionRegenerativeContinuous
AcuteNephritis,1.0,1.2594106197357178,180,2,10000,SinusoidProjectionRegenerativeContinuous
AcuteNephritis,1.0,1.2591686248779297,180,2,10000,SinusoidProjectionRegenerativeContinuous
Adult,0.8138934969902039,309.0689036846161,65122,2,10000,SinusoidProjectionRegenerativeContinuous
Annealing,0.75,7.808390855789185,1596,5,10000,SinusoidProjectionRegenerativeContinuous
Arrhythmia,0.5663716793060303,5.434130907058716,678,13,10000,SinusoidProjectionRegenerativeContinuous
Arrhythmia,0.6283186078071594,5.476025819778442,678,13,10000,SinusoidProjectionRegenerativeContinuous
Arrhythmia,0.5575221180915833,5.331235647201538,678,13,10000,SinusoidProjectionRegenerativeContinuous
Arrhythmia,0.6371681690216064,5.2854979038238525,678,13,10000,SinusoidProjectionRegenerativeContinuous
AudiologyStd,0.6800000071525574,2.283640146255493,342,18,10000,SinusoidProjectionRegenerativeContinuous
BalanceScale,0.8141025900840759,4.1375555992126465,938,3,10000,SinusoidProjectionRegenerativeContinuous
BalanceScale,0.9358974099159241,4.149076700210571,938,3,10000,SinusoidProjectionRegenerativeContinuous
BalanceScale,0.8910256624221802,4.159852981567383,938,3,10000,SinusoidProjectionRegenerativeContinuous
BalanceScale,0.9038461446762085,4.146281003952026,938,3,10000,SinusoidProjectionRegenerativeContinuous
Balloons,1.0,0.5854084491729736,24,2,10000,SinusoidProjectionRegenerativeContinuous
Balloons,1.0,0.5847787857055664,24,2,10000,SinusoidProjectionRegenerativeContinuous
Balloons,0.0,0.5824174880981445,24,2,10000,SinusoidProjectionRegenerativeContinuous
Balloons,1.0,0.5928831100463867,24,2,10000,SinusoidProjectionRegenerativeContinuous
Bank,0.856637179851532,30.11973810195923,6782,2,10000,SinusoidProjectionRegenerativeContinuous
Bank,0.8707964420318604,29.97566509246826,6782,2,10000,SinusoidProjectionRegenerativeContinuous
Bank,0.8876106142997742,30.246660947799683,6782,2,10000,SinusoidProjectionRegenerativeContinuous
Bank,0.8840708136558533,30.124555587768555,6782,2,10000,SinusoidProjectionRegenerativeContinuous
Blood,0.5882353186607361,5.189007997512817,1122,2,10000,SinusoidProjectionRegenerativeContinuous
Blood,0.7112299203872681,5.28165340423584,1122,2,10000,SinusoidProjectionRegenerativeContinuous
Blood,0.7700534462928772,5.237475395202637,1122,2,10000,SinusoidProjectionRegenerativeContinuous
Blood,0.7860962748527527,5.260972499847412,1122,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancer,0.6760563254356384,2.5863776206970215,430,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancer,0.5211267471313477,2.614819288253784,430,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancer,0.7183098793029785,2.5697269439697266,430,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancer,0.577464759349823,2.5695457458496094,430,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancerWisc,0.9714285731315613,4.981497287750244,1048,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancerWisc,0.9599999785423279,4.963195323944092,1048,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancerWisc,0.9885714054107666,5.005603790283203,1048,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancerWisc,0.977142870426178,5.013436555862427,1048,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancerWiscDiag,0.922535240650177,4.233065605163574,854,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancerWiscDiag,0.908450722694397,4.193307399749756,854,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancerWiscDiag,0.9718309640884399,4.195770978927612,854,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancerWiscDiag,0.9366196990013123,4.197413206100464,854,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancerWiscProg,0.7551020383834839,1.9191055297851562,298,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancerWiscProg,0.8163265585899353,1.9324474334716797,298,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancerWiscProg,0.8571428656578064,1.942383050918579,298,2,10000,SinusoidProjectionRegenerativeContinuous
BreastCancerWiscProg,0.8163265585899353,1.9389333724975586,298,2,10000,SinusoidProjectionRegenerativeContinuous
BreastTissue,0.807692289352417,1.3574376106262207,160,6,10000,SinusoidProjectionRegenerativeContinuous
BreastTissue,0.6538461446762085,1.3494949340820312,160,6,10000,SinusoidProjectionRegenerativeContinuous
BreastTissue,0.5384615659713745,1.3932509422302246,160,6,10000,SinusoidProjectionRegenerativeContinuous
BreastTissue,0.7307692170143127,1.3305222988128662,160,6,10000,SinusoidProjectionRegenerativeContinuous
Car,0.9490740895271301,12.460758924484253,2592,4,10000,SinusoidProjectionRegenerativeContinuous
Car,0.9212962985038757,12.890613555908203,2592,4,10000,SinusoidProjectionRegenerativeContinuous
Car,0.8958333134651184,13.308676719665527,2592,4,10000,SinusoidProjectionRegenerativeContinuous
Car,0.9421296119689941,12.581599712371826,2592,4,10000,SinusoidProjectionRegenerativeContinuous
Cardiotocography10Clases,0.7457627058029175,16.814542055130005,3190,10,10000,SinusoidProjectionRegenerativeContinuous
Cardiotocography10Clases,0.7740113139152527,16.835729837417603,3190,10,10000,SinusoidProjectionRegenerativeContinuous
Cardiotocography10Clases,0.764595091342926,16.816187143325806,3190,10,10000,SinusoidProjectionRegenerativeContinuous
Cardiotocography10Clases,0.7419962286949158,16.939139127731323,3190,10,10000,SinusoidProjectionRegenerativeContinuous
Cardiotocography3Clases,0.8926553726196289,14.686288595199585,3190,3,10000,SinusoidProjectionRegenerativeContinuous
Cardiotocography3Clases,0.903954803943634,14.431453704833984,3190,3,10000,SinusoidProjectionRegenerativeContinuous
Cardiotocography3Clases,0.8512241244316101,14.688647031784058,3190,3,10000,SinusoidProjectionRegenerativeContinuous
Cardiotocography3Clases,0.9152542352676392,14.849833011627197,3190,3,10000,SinusoidProjectionRegenerativeContinuous
ChessKrvk,0.4923011064529419,244.10817980766296,42084,18,10000,SinusoidProjectionRegenerativeContinuous
ChessKrvk,0.49344170093536377,239.25678396224976,42084,18,10000,SinusoidProjectionRegenerativeContinuous
ChessKrvk,0.5188195109367371,241.84739184379578,42084,18,10000,SinusoidProjectionRegenerativeContinuous
ChessKrvk,0.5141146183013916,239.40332627296448,42084,18,10000,SinusoidProjectionRegenerativeContinuous
ChessKrvkp,0.8886107802391052,21.354413270950317,4794,2,10000,SinusoidProjectionRegenerativeContinuous
ChessKrvkp,0.9136420488357544,21.2724506855011,4794,2,10000,SinusoidProjectionRegenerativeContinuous
ChessKrvkp,0.9549436569213867,20.948549032211304,4794,2,10000,SinusoidProjectionRegenerativeContinuous
ChessKrvkp,0.8210262656211853,20.842289447784424,4794,2,10000,SinusoidProjectionRegenerativeContinuous
CongressionalVoting,0.5137614607810974,3.532020330429077,652,2,10000,SinusoidProjectionRegenerativeContinuous
CongressionalVoting,0.6238532066345215,3.4821505546569824,652,2,10000,SinusoidProjectionRegenerativeContinuous
CongressionalVoting,0.5596330165863037,3.4712159633636475,652,2,10000,SinusoidProjectionRegenerativeContinuous
CongressionalVoting,0.5596330165863037,3.500671148300171,652,2,10000,SinusoidProjectionRegenerativeContinuous
ConnBenchSonarMinesRocks,0.7884615659713745,1.9845693111419678,312,2,10000,SinusoidProjectionRegenerativeContinuous
ConnBenchSonarMinesRocks,0.8269230723381042,1.9705708026885986,312,2,10000,SinusoidProjectionRegenerativeContinuous
ConnBenchSonarMinesRocks,0.807692289352417,1.992577075958252,312,2,10000,SinusoidProjectionRegenerativeContinuous
ConnBenchSonarMinesRocks,0.7307692170143127,1.998661994934082,312,2,10000,SinusoidProjectionRegenerativeContinuous
ConnBenchVowelDeterding,0.8658008575439453,6.6076624393463135,1056,11,10000,SinusoidProjectionRegenerativeContinuous
Connect4,0.773758053779602,474.87911438941956,101336,3,10000,SinusoidProjectionRegenerativeContinuous
Connect4,0.7752383351325989,475.96009850502014,101336,3,10000,SinusoidProjectionRegenerativeContinuous
Connect4,0.741014838218689,472.77219104766846,101336,3,10000,SinusoidProjectionRegenerativeContinuous
