Name,Accuracy,Time,Size,Classes,Dimensions,Method
Abalone,0.5718390941619873,6.370481729507446,6266,3,10000,DensityEncodingOnlineV2
AcuteInflammation,1.0,0.13646912574768066,180,2,10000,DensityEncodingOnlineV2
AcuteNephritis,1.0,0.14332795143127441,180,2,10000,DensityEncodingOnlineV2
Adult,0.6860758066177368,43.68175911903381,65122,2,10000,DensityEncodingOnlineV2
Annealing,0.7900000214576721,1.0966968536376953,1596,5,10000,DensityEncodingOnlineV2
Arrhythmia,0.6902654767036438,1.1577930450439453,678,13,10000,DensityEncodingOnlineV2
AudiologyStd,0.7599999904632568,0.3581249713897705,342,18,10000,DensityEncodingOnlineV2
BalanceScale,0.8397436141967773,0.5234661102294922,938,3,10000,DensityEncodingOnlineV2
Balloons,0.75,0.036292076110839844,24,2,10000,DensityEncodingOnlineV2
Bank,0.8380531072616577,3.4935379028320312,6782,2,10000,DensityEncodingOnlineV2
Blood,0.6417112350463867,0.5090391635894775,1122,2,10000,DensityEncodingOnlineV2
BreastCancer,0.7605633735656738,0.22789692878723145,430,2,10000,DensityEncodingOnlineV2
BreastCancerWisc,0.977142870426178,0.4737532138824463,1048,2,10000,DensityEncodingOnlineV2
BreastCancerWiscDiag,0.9436619877815247,0.49536681175231934,854,2,10000,DensityEncodingOnlineV2
BreastCancerWiscProg,0.5510203838348389,0.20556187629699707,298,2,10000,DensityEncodingOnlineV2
BreastTissue,0.5769230723381042,0.1089472770690918,160,6,10000,DensityEncodingOnlineV2
Car,0.9004629850387573,1.2222568988800049,2592,4,10000,DensityEncodingOnlineV2
Cardiotocography10Clases,0.6572504639625549,1.9803740978240967,3190,10,10000,DensityEncodingOnlineV2
Cardiotocography3Clases,0.81732577085495,1.640578031539917,3190,3,10000,DensityEncodingOnlineV2
ChessKrvk,0.39763331413269043,23.433553218841553,42084,18,10000,DensityEncodingOnlineV2
ChessKrvkp,0.8410513401031494,3.7084028720855713,4794,2,10000,DensityEncodingOnlineV2
CongressionalVoting,0.5412843823432922,0.3426549434661865,652,2,10000,DensityEncodingOnlineV2
ConnBenchSonarMinesRocks,0.7307692170143127,0.24718093872070312,312,2,10000,DensityEncodingOnlineV2
ConnBenchVowelDeterding,0.9090909361839294,0.864163875579834,1056,11,10000,DensityEncodingOnlineV2
