dataset,dimensions,train_time,test_time,accuracy,f1
PTC_FM,10000,0.49,0.24,57.14,57.14
dataset,dimensions,train_time,test_time,accuracy,f1
MUTAG,10000,0.36,0.18,87.72,87.72
dataset,dimensions,train_time,test_time,accuracy,f1
NCI1,10000,12.49,5.6,62.61,62.61
dataset,dimensions,train_time,test_time,accuracy,f1
ENZYMES,10000,4.91,2.13,40.56,40.56
dataset,dimensions,train_time,test_time,accuracy,f1
PROTEINS,10000,10.66,4.5,64.97,64.97
dataset,dimensions,train_time,test_time,accuracy,f1
DD,10000,143.36,63.46,72.88,72.88
