dataset,dimensions,train_time,test_time,accuracy,f1
PTC_FR,10000,0.46,0.23,57.55,57.55
dataset,dimensions,train_time,test_time,accuracy,f1
MUTAG,10000,0.29,0.15,78.95,78.95
dataset,dimensions,train_time,test_time,accuracy,f1
NCI1,10000,4.39,2.22,63.67,63.67
dataset,dimensions,train_time,test_time,accuracy,f1
ENZYMES,10000,1.08,0.49,38.33,38.33
dataset,dimensions,train_time,test_time,accuracy,f1
PROTEINS,10000,2.59,1.13,68.26,68.26
dataset,dimensions,train_time,test_time,accuracy,f1
DD,10000,29.69,13.9,71.47,71.47
