dataset,dimensions,train_time,test_time,accuracy,f1,VSA
BZR,10000,0.8,0.36,79.14,79.14,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
BZR_MD,10000,3.51,1.55,56.41,56.41,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
COX2,10000,0.9,0.44,67.94,67.94,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
COX2_MD,10000,5.25,2.3,51.32,51.32,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
DHFR,10000,1.53,0.72,71.94,71.94,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
DHFR_MD,10000,5.67,2.45,59.87,59.87,FHRR
