dataset,dimensions,train_time,test_time,accuracy,f1,VSA
SF-295,10000,0.04,0.0,0.0,0.0,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
SF-295H,10000,0.0,0.0,0.0,0.0,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
SN12C,10000,0.01,0.0,0.0,0.0,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
SN12CH,10000,0.0,0.0,0.0,0.0,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
SW-620,10000,0.0,0.0,0.0,0.0,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
SW-620H,10000,0.0,0.0,0.0,0.0,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
UACC257,10000,0.0,0.0,0.0,0.0,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
UACC257H,10000,0.01,0.0,0.0,0.0,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
Yeast,10000,0.0,0.0,0.0,0.0,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
YeastH,10000,0.0,0.0,0.0,0.0,FHRR
