Name,Accuracy,Time,Dimensions,Method
CIFAR10,0.28949999809265137,2376.4263999462128,10000,hashmap
MNIST,0.829800009727478,716.316465139389,10000,hashmap
EuropeanLanguages,0.04985714331269264,431.50588965415955,10000,hashmap
EMGHandGestures,0.9810126423835754,7.5785369873046875,10000,hashmap
EMGHandGestures,0.9594594836235046,6.707634687423706,10000,hashmap
EMGHandGestures,0.9931034445762634,6.778356552124023,10000,hashmap
EMGHandGestures,0.9860140085220337,6.541445970535278,10000,hashmap
EMGHandGestures,0.9900990128517151,4.467154264450073,10000,hashmap
PAMAP,0.9270381331443787,215.60636830329895,10000,hashmap
PAMAP,0.9298275113105774,225.69004321098328,10000,hashmap
PAMAP,0.9514432549476624,147.7249402999878,10000,hashmap
PAMAP,0.942375898361206,194.94732666015625,10000,hashmap
PAMAP,0.863204300403595,228.76098918914795,10000,hashmap
PAMAP,0.8998562097549438,209.84630680084229,10000,hashmap
PAMAP,0.9462755918502808,193.13798809051514,10000,hashmap
PAMAP,0.9511991143226624,218.61332726478577,10000,hashmap
ISOLET,0.884541392326355,64.04182243347168,10000,hashmap
UCIHAR,0.8452664017677307,78.40333032608032,10000,hashmap
CIFAR10,0.3312999904155731,33.06844758987427,10000,sinusoid
MNIST,0.8388000130653381,19.75414490699768,10000,sinusoid
EuropeanLanguages,0.045571427792310715,25.1738760471344,10000,sinusoid
EMGHandGestures,0.8417721390724182,0.12058186531066895,10000,sinusoid
EMGHandGestures,0.8513513803482056,0.1166534423828125,10000,sinusoid
EMGHandGestures,0.834482729434967,0.1146402359008789,10000,sinusoid
EMGHandGestures,0.7692307829856873,0.11399984359741211,10000,sinusoid
EMGHandGestures,0.7722772359848022,0.07800030708312988,10000,sinusoid
PAMAP,0.8948383331298828,25.9567973613739,10000,sinusoid
PAMAP,0.9300718903541565,28.991251468658447,10000,sinusoid
PAMAP,0.9422895908355713,18.34396481513977,10000,sinusoid
PAMAP,0.9427700042724609,23.707887172698975,10000,sinusoid
PAMAP,0.8025175929069519,28.702571868896484,10000,sinusoid
PAMAP,0.897988498210907,26.034201860427856,10000,sinusoid
PAMAP,0.944148600101471,26.3156259059906,10000,sinusoid
PAMAP,0.9232945442199707,27.127351999282837,10000,sinusoid
ISOLET,0.8858242630958557,1.2934856414794922,10000,sinusoid
UCIHAR,0.8554462194442749,1.5545339584350586,10000,sinusoid
CIFAR10,0.2912999987602234,2444.2815635204315,10000,flocet
MNIST,0.8270000219345093,740.897215127945,10000,flocet
EuropeanLanguages,0.049714285880327225,451.84277415275574,10000,flocet
EMGHandGestures,0.9810126423835754,7.1169421672821045,10000,flocet
EMGHandGestures,0.9729729890823364,6.686890125274658,10000,flocet
EMGHandGestures,1.0,6.504235029220581,10000,flocet
EMGHandGestures,0.9790209531784058,6.430949926376343,10000,flocet
EMGHandGestures,0.9603960514068604,4.566369295120239,10000,flocet
PAMAP,0.9298967123031616,226.81008553504944,10000,flocet
PAMAP,0.9245404601097107,233.33297896385193,10000,flocet
PAMAP,0.9524239897727966,158.24959993362427,10000,flocet
PAMAP,0.9440106153488159,206.7407419681549,10000,flocet
PAMAP,0.8568422794342041,243.85978031158447,10000,flocet
PAMAP,0.9074882864952087,226.21413731575012,10000,flocet
PAMAP,0.9502401947975159,208.55058693885803,10000,flocet
PAMAP,0.9484729766845703,235.6284728050232,10000,flocet
ISOLET,0.8890314102172852,66.55709314346313,10000,flocet
UCIHAR,0.8466236591339111,79.16617774963379,10000,flocet
