Name,Accuracy,Time,Dimensions,Method,Encoding,Iterations,Retrain
Abalone,0.545976996421814,3.501601457595825,10000,add,sinusoid,1,False
Abalone,0.5555555820465088,4.621891498565674,10000,add,sinusoid,1,False
Abalone,0.553639829158783,3.3457961082458496,10000,add,sinusoid,1,False
AcuteInflammation,1.0,0.19033026695251465,10000,add,sinusoid,1,False
AcuteInflammation,1.0,0.20691418647766113,10000,add,sinusoid,1,False
AcuteInflammation,1.0,0.2371673583984375,10000,add,sinusoid,1,False
AcuteNephritis,1.0,0.23943519592285156,10000,add,sinusoid,1,False
AcuteNephritis,1.0,0.22945570945739746,10000,add,sinusoid,1,False
AcuteNephritis,1.0,0.2775850296020508,10000,add,sinusoid,1,False
Adult,0.6941834092140198,50.504464626312256,10000,add,sinusoid,1,False
Adult,0.6882255673408508,59.07991409301758,10000,add,sinusoid,1,False
Adult,0.6916651129722595,66.59434342384338,10000,add,sinusoid,1,False
Annealing,0.6899999976158142,1.3260855674743652,10000,add,sinusoid,1,False
Annealing,0.6499999761581421,1.1257073879241943,10000,add,sinusoid,1,False
Annealing,0.5899999737739563,1.3007726669311523,10000,add,sinusoid,1,False
Arrhythmia,0.5132743120193481,0.5806059837341309,10000,add,sinusoid,1,False
Arrhythmia,0.5044247508049011,0.48395252227783203,10000,add,sinusoid,1,False
Arrhythmia,0.48672565817832947,0.9344046115875244,10000,add,sinusoid,1,False
AudiologyStd,0.8399999737739563,0.3492312431335449,10000,add,sinusoid,1,False
AudiologyStd,0.800000011920929,0.3380422592163086,10000,add,sinusoid,1,False
AudiologyStd,0.8399999737739563,0.334897518157959,10000,add,sinusoid,1,False
BalanceScale,0.7884615659713745,1.0290415287017822,10000,add,sinusoid,1,False
BalanceScale,0.7820512652397156,1.109391689300537,10000,add,sinusoid,1,False
BalanceScale,0.7692307829856873,0.9851589202880859,10000,add,sinusoid,1,False
Balloons,1.0,0.03238821029663086,10000,add,sinusoid,1,False
Balloons,1.0,0.03328847885131836,10000,add,sinusoid,1,False
Balloons,0.75,0.029572010040283203,10000,add,sinusoid,1,False
Bank,0.6185840964317322,6.251897573471069,10000,add,sinusoid,1,False
Bank,0.613274335861206,6.518558502197266,10000,add,sinusoid,1,False
Bank,0.6115044355392456,6.887636423110962,10000,add,sinusoid,1,False
Blood,0.5668449401855469,1.293623924255371,10000,add,sinusoid,1,False
Blood,0.5668449401855469,0.9742989540100098,10000,add,sinusoid,1,False
Blood,0.5668449401855469,1.1671714782714844,10000,add,sinusoid,1,False
BreastCancer,0.7042253613471985,0.5142853260040283,10000,add,sinusoid,1,False
BreastCancer,0.7183098793029785,0.5519981384277344,10000,add,sinusoid,1,False
BreastCancer,0.7183098793029785,0.5412402153015137,10000,add,sinusoid,1,False
BreastCancerWisc,0.9599999785423279,1.0806639194488525,10000,add,sinusoid,1,False
BreastCancerWisc,0.954285740852356,1.0300102233886719,10000,add,sinusoid,1,False
BreastCancerWisc,0.954285740852356,0.8848433494567871,10000,add,sinusoid,1,False
BreastCancerWiscDiag,0.9366196990013123,1.0290555953979492,10000,add,sinusoid,1,False
BreastCancerWiscDiag,0.9366196990013123,0.940117359161377,10000,add,sinusoid,1,False
BreastCancerWiscDiag,0.9436619877815247,0.9704279899597168,10000,add,sinusoid,1,False
BreastCancerWiscProg,0.5510203838348389,0.2894711494445801,10000,add,sinusoid,1,False
BreastCancerWiscProg,0.5510203838348389,0.4554164409637451,10000,add,sinusoid,1,False
BreastCancerWiscProg,0.5714285969734192,0.2212684154510498,10000,add,sinusoid,1,False
BreastTissue,0.807692289352417,0.24940896034240723,10000,add,sinusoid,1,False
BreastTissue,0.7692307829856873,0.22226834297180176,10000,add,sinusoid,1,False
BreastTissue,0.807692289352417,0.24262690544128418,10000,add,sinusoid,1,False
Car,0.7546296119689941,2.1352734565734863,10000,add,sinusoid,1,False
Car,0.7546296119689941,2.2491776943206787,10000,add,sinusoid,1,False
Car,0.7546296119689941,2.2098278999328613,10000,add,sinusoid,1,False
Cardiotocography10Clases,0.604519784450531,2.6458823680877686,10000,add,sinusoid,1,False
Cardiotocography10Clases,0.5932203531265259,2.1892030239105225,10000,add,sinusoid,1,False
Cardiotocography10Clases,0.6139359474182129,2.980574369430542,10000,add,sinusoid,1,False
Cardiotocography3Clases,0.7815442681312561,2.6758360862731934,10000,add,sinusoid,1,False
Cardiotocography3Clases,0.7815442681312561,2.7165558338165283,10000,add,sinusoid,1,False
Cardiotocography3Clases,0.7890772223472595,3.221730947494507,10000,add,sinusoid,1,False
ChessKrvk,0.23923581838607788,30.566006183624268,10000,add,sinusoid,1,False
ChessKrvk,0.237239807844162,30.824732542037964,10000,add,sinusoid,1,False
